id,trigger,conditions,script,text,New Column,options,New Column 2,notes,Column
gaDAKantaSentMe1,DialogOptionSelected,$option == gaDA_kanta1,,"""... Then,"" the pirate, almost in tears, completes your sentence, ""... she must want me alive for some reason. And I'm only useful to her if I'm alive, right?"" A deep breath. ""That makes sense. I owe her still. I always will. But she'll see how loyal I am, right? You'll tell her I'm loyal?"" The pirate looks to you, pleading.","
","gaDA_kanta1a:""Absolutely loyal.""",,,
gaDAKantaSentMe1a,DialogOptionSelected,$option == gaDA_kanta1a,$gaDA_piratePrice = 0 0,You manage to extricate yourself from comms link-up with the blubbering pirate captain just as your operations chief confirms that a cargo drone has delivered a package from the lead pirate ship.,"
",gaDA_buyAgree:Continue,,,
gaDAKantaSentMe2,DialogOptionSelected,$option == gaDA_kanta2,,"""Yes, yes. Yes yes yes. That might work. And- yes, if I give you whatever this stupid thing is, you�ll do this? Tell her you saw me die?"" The pirate captain looks to you, pleading.","
","gaDA_kanta2a:""I'm picturing it right now.""",,,
gaDAKantaSentMe2a,DialogOptionSelected,$option == gaDA_kanta2a,$gaDA_piratePrice = 0 0,"""Wonderful!"" $HeOrShe looks as though an enormous weight has lifted off $hisOrHer shoulders. ""Thank you for ... for this opportunity. Freedom! At last!""

Only the promise that you'll make up a good story about how they went out guns ablaze gets the pirate captain off the comms. You sigh, and just then your operations chief pings your attention to note that a cargo drone has delivered a package from the lead pirate ship.","
",gaDA_buyAgree:Continue,,,
# conversation with scavenger,,,,,"
",,,,
gaDAScavFleetEncounter,BeginFleetEncounter,"$gaDA_scavenger score:1000
!$gaDA_encounteredAlready
Call $global.gaDA_ref updateData","$gaDA_encounteredAlready = true
$hailing = true 0
FleetDesc","You've caught up with the scavengers who took the $gaDA_widgetNoArticle. You glance at the tactical report in the tense moments before comms link-up. They're an armed fleet, but not heavily, and you're far from the core worlds. If you were to attack this fleet and prevail, you are unlikely to face serious repercussions from any major faction, or even the independent polities. 

Still. No matter how tight the infosec or how loyal the crew, dark rumors always swirl in the wake of bloodthirsty captains. The incoming comms request light blinks at you.","
",,,,
gaDAScavOpenComm,OpenCommLink,"$entity.gaDA_scavenger score:1000
!$entity.ignorePlayerCommRequests
Call $global.gaDA_ref updateData","$entity.ignorePlayerCommRequests = true
SetStoryOption gaDA_scavBluff 1 gaDA_scavBluff general ""Lied to retrieve $gaDA_widget from scavengers""","An image of $personName, commander of the independent scavenger fleet, coalesces before you. In just a look, you can see in $hisOrHer eyes that you both understand the stakes in meeting a stranger in the dark volume outside the core worlds. 

""Bright stars, captain,"" $heOrShe says in greeting. ""What brings you to this humble orbit?""","
","gaDA_scavBuy:""You found something I need. Let's make a deal.""
gaDA_scavThreaten:""I want what you found. Send it over. Those are my only terms.""
gaDA_scavBluff:""Say, aren't you $personName?"" (bluff)",,,
gaDAScavBuy,DialogOptionSelected,$option == gaDA_scavBuy,"SetTextHighlights $gaDA_scavPayment
$gaDA_scavPrice = $gaDA_scavPayment
DoCanAffordCheck $gaDA_scavPrice gaDA_scavBuyAccept false","You begin to negotiate, a game you both know, and argue that if they sell this item of unknown provenance to you now, you can help them avoid a long trip back to the core worlds, at which point they'd only have to waste more time and fuel shopping around to find the right buyer. Captain $lastName counters, ""It is clear that you have a buyer in mind. Why not divulge their comms ID for a cash payment?"" You shake your head, and explain that the exclusive relationship you have is worth more than the one job. 

The negotiation goes back and forth, both parties acknowledging the commercial interest of the other by various points, until the independent captain comes to a price for the $gaDA_widgetNoArticle.

""I think $gaDA_scavPayment credits is more than fair,"" $heOrShe says with that touch of finality which signals that this negotiation is at its end.","
","gaDA_scavBuyAccept:Agree to their price
cutCommLink:Decline, it�s simply not worth it",,,
gaDAScavBuyConfirm,DialogOptionSelected,$option == gaDA_scavBuyAccept,"FireBest ScavPaidText
RemoveCommodity credits $gaDA_scavPrice
$global.gaDA_gotWidget = true
Call $global.gaDA_ref updateStage
MakeOtherFleetGoAway true
EndConversation
ShowDefaultVisual",,"
",,,,
gaDAScavThreatenScavStronger,DialogOptionSelected,"$option == gaDA_scavThreaten
$entity.relativeStrength > 0","SetTextHighlights $gaDA_scavPaymentHigh
$gaDA_scavPrice = $gaDA_scavPaymentHigh
DoCanAffordCheck $gaDA_scavPrice gaDA_scavBuyAccept false","The scavenger captain folds $hisOrHer arms and gives the smallest of nods to someone off-screen. ""I see,"" $heOrShe says, ""We're going to do it like that. Well, let's not waste time. Time is money, and fighting is a good way for everyone to lose a lot of both.""

""You can pay me $gaDA_scavPaymentHigh credits for my work, and then I will surrender to you this 'thing'. Or you can try to attack my fleet and waste a lot more money than that sum. My tactical projections do not estimate a great chance of victory for your $shipOrFleet.""

""So, how's it going to be?""","
","gaDA_scavBuyAccept:Pay $gaDA_scavPaymentHigh credits to receive the mission target
cutCommLink:Refuse and prepare to attack",,,
gaDAScavThreatenScavWeaker,DialogOptionSelected,"$option == gaDA_scavThreaten
$entity.relativeStrength < 0",$gaDA_scavPrice = 0 0,"The scavenger captain folds $hisOrHer arms and gives the smallest of nods to someone off-screen. ""I see,"" $heOrShe says, ""We're going to do it like that. Well, let's not waste time. Time is money, and fighting is a good way for everyone to lose a lot of both.""

$HeOrShe seems remarkably detached during this exchange. You realize that $heOrShe sees your threat and $hisOrHer loss as simply a matter of business. ""I accept your terms. Please be ready to receive a cargo drone. Now if you'll excuse me captain, we have work to do."" 

The comms snap off rather abruptly. Your display reports a cargo drone with the package is incoming.","
",gaDA_scavBuyAccept:Continue,,,
gaDAScavNormalScavPayText,ScavPaidText,$gaDA_scavPrice != $gaDA_scavPaymentHigh,,"You order the credits transfer. The scavenger unfolds $hisOrHer arms and makes a small motion to a subordinate. 

""A profitable exchange for all, I trust. Until next time, captain,"" $heOrShe says with a small, all-business smile.

You close the comms. Your logistics officer reports that a disposable cargo drone has delivered the package.","
",,,,
gaDAScavThreatenScavPayText,ScavPaidText,$gaDA_scavPrice == $gaDA_scavPaymentHigh,AdjustRepActivePerson VENGEFUL -45,"You order the credits transfer. The scavenger unfolds $hisOrHer arms and makes a small motion to a subordinate. 

""Until next time, captain,"" $heOrShe says, locking $hisOrHer gaze on you through the comms-line. You could swear that under that all-business facade $heOrShe is burning your face into long-term memory.

You close the comms and receive a report from your logistics officer that a disposable cargo drone has delivered the package.","
",cutCommLinkNoText:Continue,,,
gaDAScavBluff1,DialogOptionSelected,$option == gaDA_scavBluff,,"The scavenger blinks. ""Yes, my name is in the comms IDs we exchanged when this line was opened.""

It's coming back to you now. Some minor report while in dock a ways back, you're not sure why you read so deeply into the neighboring vessels ownership status and history of public contract affiliations. Just something to pass the time while cargo is moved, perhaps.

You explain, referencing the details you now recall, that they are the $personName, serving a long-term contract for the Provenance Supply Stock Combine, registered with the good ol' APCC- the Agreus Provisional Commerce Concordat. And it's a good thing you found them now rather than having them find out about it when they got back to Nortia.

""Find out what,"" $heOrShe says in a flat voice that expects bad news.","
","gaDA_scavBluff2:""The results of the investigation, of course.""",,,
gaDAScavBluff2,DialogOptionSelected,$option == gaDA_scavBluff2,,"$HeOrShe looks worried, ""The investigation?""

You shake your head as you tell of the scandal and subsequent legal action that has toppled most of the board of directors of the PSSC after the APCC was tipped off about funds being shuffled between certain providers of 'ghost capital' in a scheme involving heavy weapons smuggled into Pather space leveraged off prime Eventide real estate. The rot goes deep, and with interfactional diplomatic pressure, the Concordat will see more heads roll in the upcoming cycle, that's for sure.

The captain looks more and more like a spaced corpse as you lay it on.","
","gaDA_scavBluff3:""But your real problem is the expropriation order...""",,,
gaDAScavBluff3,DialogOptionSelected,$option == gaDA_scavBluff3,,"""The... "", $heOrShe can't even bring $himselfOrHerself to say it.

""Yes,"" you confirm, sadly. The sum of property owned by the PSSC- and leased, covenant-bonded, indentured, or contracted elements thereof, are all forfeit to the APCC to be sold off to pay for the enormous fines. And rights to that property that is still, as they say, in-transit has been sold off in an anonymous auction.

All in all, it's a good thing you got here first to tip them off about the mess. Why, they could have found themselves adrift in a life-pod and missing every redundant organ if an unsavory repossessor found them first. With this warning, they can scrub their transponder ID, sell everything they're carrying on the first black market they find, and buy citizenship on any independent polity they want with seed capital leftover for whatever venture comes next.  ","
","gaDA_scavBluff4:""As a tip for the tip-off, perhaps I could take a bit of that salvage...""",,,
gaDAScavBluff4,DialogOptionSelected,$option == gaDA_scavBluff4,$gaDA_scavPrice = 0 0,"Captain $personLastName quickly agrees that you've been more than helpful, and that one very specific bin of salvage is hardly enough of a reward for what you've done. You can only shake your head and smile, explaining that out among the stars independent captains like you and $himOrHer have to look out for one another.

The scavenger looks at you with grim determination as you say your goodbyes. ""Burn bright, Captain $playerName. And thank you once more."" You close the comms-link just as your logistics officer reports that a cargo drone has delivered the mission target.","
",gaDA_scavBuyAccept:Continue,,,
,,,,,"
",,,,
# scan celestial object mission,,,,,"
",,,,
gaCOBlurb,gaCO_blurb,,,"""A team in $gaCO_department would like a special instrument package run on $gaCO_celestialObjectNameWithTypeShort in the $gaCO_starName system.""","
",,,,
gaCOOfferOption,gaCO_option,,,,"
",gaCO_start:Ask about the $gaCO_celestialObjectType scan,,,
gaCOMissionTextBasic,DialogOptionSelected,"$option == gaCO_start
$gaCO_variation != PULSAR","$missionId = gaCO
SetTextHighlights $gaCO_dist $gaCO_reward","""They just want you to run the, um, a standard orbital approach pre-coded into the instrument package put together by $gaCO_department. Just enter a standard orbit of $gaCO_celestialObjectNameWithTypeLong in the $gaCO_starName system, about $gaCO_dist light-years away, and the gadget will take care of the rest when you activate it. It'll send out its own hyperwave pulse to signal completion and that'll release the honorarium of $gaCO_reward credits to your account."" 

""Easy, right?"" $HeOrShe smiles brightly, ""You barely have to do anything.""","
","aseb_accept:Accept
aseb_decline:Decline",,,
gaCOMissionTextBasicSlipUp,DialogOptionSelected,"$option == gaCO_start
$gaCO_variation != PULSAR
$gaCO_slipUp","$missionId = gaCO
SetTextHighlights $gaCO_dist $gaCO_reward","""They just want you to run the, um. It's a standard orbital approach pre-coded into the instrument package put together by the $gaCO_department. You just have it pass a course to your navigation system. Just enter a standard orbit of $gaCO_celestialObjectNameWithTypeLong in the $gaCO_starName system, about $gaCO_dist light-years away, and the gadget will take care of the rest. It'll send out its own hyperwave pulse to signal completion, and that'll release the honorarium of $gaCO_reward credits to your account."" 

""Easy, right?"" $HeOrShe smiles brightly, ""I'm sure it'll go much better than the last expedition.""","
","aseb_accept:Accept
aseb_decline:Decline
gaCO_excuseMe:""What was that about the last expedition?""",,,
gaCOMissionTextBasicSlipUp1,DialogOptionSelected,$option == gaCO_excuseMe,,"""Oh!"" Academician Sebestyen turns a shade of red, ""The ... yes. No. I mean, well, I wasn't supposed to mention it. You won't tell the provost will you?""

He looks legitimately concerned.","
","gaCO_excuseMe1:""Just tell me what happened.""
aseb_decline:Decline the mission",,,
gaCOMissionTextBasicSlipUp2,DialogOptionSelected,$option == gaCO_excuseMe1,,"""Okay, okay. I uh, what happened I guess is that maybe the Pathers found out? That we were sending a probe? And, well. They didn't like that. So.""

He trails off, perhaps hoping you'll just let it go.","
","gaCO_excuseMe2:""So... ?""
aseb_decline:Decline the mission",,,
gaCOMissionTextBasicSlipUp3,DialogOptionSelected,$option == gaCO_excuseMe2,,"""So. Well, it didn't end well. And maybe they lost half their fleet, maybe, including the probe. It was all very awkward, let me tell you. The whole situation still gives me anxiety."" 

You can believe that without reservation.

He looks to you hopefully. ""So you'll run this instrument package for the $gaCO_department team?""","
","aseb_accept:""Yes. And I'll be very careful."" (accept) 
aseb_decline:""No, I don't need more trouble with Pathers."" (decline)",,,
gaCOMissionTextBasicHoloarts,DialogOptionSelected,"$option == gaCO_start
$gaCO_holoarts score:100","$missionId = gaCO
SetTextHighlights $gaCO_dist $gaCO_reward","Academician Sebestyen seems especially excited to tell you about this mission; you can tell by how his eyes light up.

""Applied Holoarts, how fun! They have this amazing all-frequencies high-res holoscan matrix and it makes just the most wonderful holos. Let's see, the team just wants you to run their pre-coded approach on $gaCO_celestialObjectNameWithTypeLong in the $gaCO_starName system, about $gaCO_dist light-years away. The instrument package will take care of everything automatically once you're at the mission target, you just need to watch the show. When it's done, it'll send a hyperwave pulse to signal completion, and that'll release the honorarium of $gaCO_reward credits to your account."" 

Academician Sebestyen finally takes a breath, and you take this moment of quiet to consider the logistics of the operation. ""I wonder what this scan is for, I can't wait to see it,"" he says. ""This'll be so neat!""","
","aseb_accept:Accept
aseb_decline:Decline",,,
gaCOMissionTextBasicPulsar,DialogOptionSelected,"$option == gaCO_start
$gaCO_variation == PULSAR","$missionId = gaCO
SetTextHighlights $gaCO_dist","""Right. Yes."" Academician Sebestyen seems nervous, but after a moment of ever-so-brief inner turmoil, appears to make the decision to power through the briefing.

""... Okay. For this one you would need to go to $gaCO_celestialObjectNameWithTypeShort in the $gaCO_starName system, which is $gaCO_dist light-years away. Once in orbit of the target, the instrument package provided by the $gaCO_department team will link to your navigation system with the necessary information to do the, um, sweep. And um. You�ll want to time this very carefully because, um.""

Is his resolve wavering? ","
",gaCO_pulsarCont:Raise a single eyebrow,,,
gaCOMissionTextBasicPulsarCont,DialogOptionSelected,$option == gaCO_pulsarCont,SetTextHighlights $gaCO_reward,"This seems to set the academician back on course. ""What you need to know is that, ah, $gaCO_starName is a pulsar. So you'll have to be very careful, right? I mean, it's not so bad, you just need to time your approach. Right? And,"" he seems to perk up, ""you'll get to see rapidly spinning jets of high energy charged particles, it'll be the most amazing show!""

""The package will ping us with an encrypted hypercomms pulse once it's, and that'll release your funds. Oh! Right, the honorarium is $gaCO_reward credits. That's important."" He lets out a breath, looking relieved to have finished the briefing.","
","aseb_accept:Accept
aseb_decline:Decline",,,
# celestial object interaction,,,,,"
",,,,
gaCOPrintHostilesText,OpenInteractionDialog,"$gaCO_object score:1000
HostileFleetNearbyAndAware
Call $global.gaCO_ref updateData",ShowDefaultVisual,"A nearby hostile fleet is tracking your movements, preventing you from executing the maneuvers programmed into the scan package.","
",defaultLeave:Leave,,,
gaCOObjectInteraction,OpenInteractionDialog,"$gaCO_object score:1000
Call $global.gaCO_ref updateData",ShowDefaultVisual,"Your nav officer reports that your $shipOrFleet has arrived at the coordinates provided by the $gaCO_department team. It's time to activate the instrument package. Your nav officer nods as you confirm that their subsystem is ready for input. The ops chief gives a thumbs-up to indicate that the instruments are deployed according to instruction.

The go-button flashes softly on your command interface.","
",gaCO_scan:Execute the scan,,,
gaCOObjectScan,DialogOptionSelected,$option == gaCO_scan,"$global.gaCO_scanCompleted = true
Call $global.gaCO_ref updateStage","Maneuvering thrusters activate in a series of tight bursts setting you on a graceful arc like a calligraphic stroke across the $gaCO_celestialObjectType before you.

Systems indicate a power drain, and in mere minutes the procedure is complete. Your comms officer reports a small hypercomms pulse, the signal to the Galatia Academy to release your payment. Your bridge crew reports in turn, status normal, ready to resume course.","
",defaultLeave:Leave,,,
# CO pather conversations - before scan,,,,,"
",,,,
gaCOPatherEncounterBefore,BeginFleetEncounter,"$gaCO_patherMissionInProgress score:1000
!$gaCO_encounteredAlready
Call $global.gaCO_ref updateData","$gaCO_encounteredAlready = true
FleetDesc
HailPlayer",,"
",,,,
gaCOPatherOpenComm,OpenCommLink,"$entity.gaCO_patherMissionInProgress score:1000
!$entity.ignorePlayerCommRequests
Call $global.gaCO_ref updateData","$entity.ignorePlayerCommRequests = true
SetStoryOption gaCO_convince 1 gaCO_convince general ""Convinced Pather captain you were one of them""","The channel opens to the scowling face of a Pather fanatic. ""Defiler! Interloper!� $HeOrShe spits the words. ""We know well of your kind, for you are not the first to be sent from the Galatia Academy, that foul temple of Belial which vomits up corrupt servants to broadcast profanities upon holy creation!""

""Eject the demonic artifact,"" $heOrShe hisses the words like they're a curse, ""so that we may eliminate it. After this act of supplication, and only after, we might consider praying for your forgiveness, blessing of Ludd be upon even those who malign his Path.""

You consider the situation. If you eject the instrument package for the Pathers to play target practice with, the Galatia Academy won't be pleased, and you haven't been paid yet. Still, it's likely to avoid a fight.","
","gaCO_eject:Eject the research package
gaCO_reject:Reject their demands and power up weapons
gaCO_convince:Convince them to let you go",,,
gaCOPatherReject,DialogOptionSelected,$option == gaCO_reject,,"The Pather almost smiles, like $heOrShe expected and welcomes your rejection. Here, now, $heOrShe can prove that $heOrShe is a worthy martyr for the cause.

""Blessed be the holy void,"" the Pather says through eyes cast heavensward, ""Through this we return as dust to the stars, the crucible of our maker...""

You cut the comms.","
",cutCommLinkNoText:Continue,,,
gaCOPatherReject1,DialogOptionSelected,$option == gaCO_eject,"$global.gaCO_gaveScannerToPathers = true
Call $global.gaCO_ref updateStage","The Pather captain looks more than a little surprised that you accepted their offer, and $heOrShe seems satisfied to see you eject the instrument package, which is quickly blasted by weapons-fire.","
",gaCO_ejectCont1:Continue,,,
gaCOPatherReject2,DialogOptionSelected,$option == gaCO_ejectCont1,"MakeOtherFleetNonHostile gaCO true
MakeOtherFleetGoAway true
AdjustRep $personFaction.id COOPERATIVE 1","""Now,"" $heOrShe intones, to $himOrHerself, to you, to the crew listening, ""together we pray.""

The Pather captain leads you through a classic Luddic prayer, begging forgiveness and of harming not holy creation. You stumble through the bits you happen to know, and mumble along with the rest. The Pather seems content with your effort, at least.","
",gaCO_ejectCont2:Continue,,,
gaCOPatherReject3,DialogOptionSelected,$option == gaCO_ejectCont2,,"""It is a long path to redemption,"" the Pather captain tells you, finally, ""And this is but the first step. Blessings of Ludd be upon you.""

You cut the comms and consider your next move.","
",cutCommLinkNoText:Continue,,,
gaCOPatherConvince1,DialogOptionSelected,$option == gaCO_convince,,"You know how these Pathers work. It's not hard.

You put on a look of grave concern, ""$BrotherOrSister, I fear you have misunderstood the situation completely. It is true that we had contact with the academicians, those priests of Belial in their ivory temple of hubris and spiritual decay, but it is not as you assume.""

Confusion begins to grow on $personFirstName's face as $heOrShe tries to process words like these coming from you.","
",gaCO_convinceCont1:Continue,,,
gaCOPatherConvince2,DialogOptionSelected,$option == gaCO_convinceCont1,,"You clasp hands together dramatically, and recite as if to the congregation.

""I pray for you, $brotherOrSister, to follow my lead on this Path. We do as the disciple Amity did when she did allow those who sought sin to undo their own work through misunderstanding. Witness: that we have taken this demonic device far from their temple of lies, and yea, we shall throw it down this gravity well that it might burn up and be only atoms once more as clay to be wrought by the ways of Creation.""","
",gaCO_convinceCont2:Continue,,,
gaCOPatherConvince3,DialogOptionSelected,$option == gaCO_convinceCont2,,"You allow a smile to break over your clasped hands, like a dawn of spiritual inspiration.

""Was not Ludd fond of a good joke, to fool the unbeliever in gentle mockery, and so convey a lesson of the spirit? Do we not follow the Path by undoing a sinful work? Let us pray together, $brotherOrSister, then each go our own way to serve Holy Creation.""

You lead the befuddled Pather in a classic Luddic prayer without missing a word, then exchange fond farewells and blessings with $personName. After you close the channel, you stop a moment to find your bridge crew looking at you with a combination of awe and confusion.","
","gaCO_convinceCont3:""To your stations.""",,,
gaCOPatherConvince4,DialogOptionSelected,$option == gaCO_convinceCont3,"MakeOtherFleetNonHostile gaCO true
MakeOtherFleetGoAway true
AdjustRep $personFaction.id COOPERATIVE 5
Call $entity.gaCO_ref makeUnimportant",They snap back to their duties. It would be a good idea to let the Pathers travel out of sensor range before beginning the scan.,"
",cutCommLinkNoText:Continue,,,
# CO pather conversations - after scan,,,,,"
",,,,
gaCOPatherEncounterAfter,BeginFleetEncounter,"!$gaCO_patherMissionInProgress
$gaCO_patherPermanentFlag score:1000
!$gaCO_encounteredAlready","$gaCO_encounteredAlready = true
FleetDesc
HailPlayer",,"
",,,,
gaCOPatherOpenCommAfter,OpenCommLink,"!$entity.gaCO_patherMissionInProgress
$entity.gaCO_patherPermanentFlag score:1000
!$entity.ignorePlayerCommRequests","$entity.ignorePlayerCommRequests = true
DoCanAffordCheck $entity.gaCO_patherTithe gaCO_ejectAfter false","The channel opens on the scowling face of a Pather fanatic. �Defiler! Interloper!� $heOrShe spits the words like a curse, ""Your emanations are offerings to Belial, profanities broadcast upon holy creation! Eject your demonic machine of science,"" that word spoken as a hissed curse, ""that we may destroy it in cleansing fire.""

Is that all? No - the Pather was drawing breath to continue the tirade ""- Then pay us a goodly sum, a tithe for your unholy crime, and only then we might consider praying for your forgiveness! Answer now, heretic!""

You consider the situation. The job is already done, so you don�t need the instrument package. Paying off the Pathers would let you leave without a fight.","
","gaCO_ejectAfter:Eject the research package and pay a tithe of $entity.gaCO_patherTithe credits
gaCO_reject:Reject their demands and power up weapons",,,
gaCOEjectAfter1,DialogOptionSelected,$option == gaCO_ejectAfter,"RemoveCommodity credits $entity.gaCO_patherTithe
MakeOtherFleetNonHostile gaCO true
MakeOtherFleetGoAway true
AdjustRep $personFaction.id COOPERATIVE 2","The Pather captain looks more than a little surprised that you accepted their terms, and at the transfer of the tithe credits seems to calm visibly.

""Now,"" $heOrShe intones, to $himOrHerself, to you, to the crew listening, ""together we pray.""

The Pather captain leads you through a classic Luddic prayer, begging forgiveness and of harming not holy creation. You stumble through the bits you happen to know, and mumble along with the rest. The Pather seems content with your efforts.","
",gaCO_ejectAfterCont1:Continue,,,
gaCOEjectAfter2,DialogOptionSelected,$option == gaCO_ejectAfterCont1,,"""It is a long path to redemption,"" the Pather captain tells you, finally, ""And this is but the first step in your atonement. Blessings of Ludd be upon you, traveller.""

You cut the comms, roll your eyes, and consider your next move.","
",cutCommLinkNoText:Continue,,,
,,,,,"
",,,,
# GA retrieve instrument package from probe mission,,,,,"
",,,,
gaProbeBlurb,gaProbe_blurb,,,"""The $gaProbe_department needs the instrument package from a probe recovered from $gaProbe_starName and returned to the Academy for analysis.""","
",,,,
gaProbeOfferOption,gaProbe_option,,,,"
",gaProbe_start:Ask about the instrument package recovery,,,
gaProbeMissionTextBasic1,DialogOptionSelected,$option == gaProbe_start,"$missionId = gaProbe
SetTextHighlights $gaProbe_reward
$aseb_givePlayerNeutrinoDetector = true 0","""Right right right, so this one says $gaProbe_department needs the instrument package from a probe recovered and returned. Hmm. They sent it to the $gaProbe_starName system to study, um, $gaProbe_celestialObjectNameWithType. It doesn't say here what it was for exactly, just that they need it back.""

Sebestyen sees the look you're giving him. ""I know, I know. You're not just here to fetch packages. But this really is important. It's cutting-edge science! It benefits us all!"" He furrows his brow. ""Somehow. Probably.""

""So not the whole thing, just the instrument package right? It's small and won't take up any cargo space, I promise. And, good news here, the bursar has authorized a payment of $gaProbe_reward credits for recovery. So what do you think?""","
","aseb_accept:Accept
aseb_decline:Decline",,,
end,,,,,"
",,,,
gaProbeMissionTextBasic2,DialogOptionSelected,$option == gaProbe_start,"$missionId = gaProbe
SetTextHighlights $gaProbe_dist $gaProbe_reward
$aseb_givePlayerNeutrinoDetector = true 0","""So."" You generally expect a pleading look at the end of the spiel, not the start.

""You're a professional. A space captain. Highly skilled! Leadership, command, initiative! These are all essential, because it's dangerous out there. Even if, uh. Well, the $gaProbe_department needs the instrument package from a probe sent to the $gaProbe_starName system recovered. It's $gaProbe_dist light-years away. And I know what you're thinking, you're not a packet-minder who fetches packages.""

""But this is science!"" Sebestyen slams his datapad down, surprising himself. ""It's important! It can save the Sector from a fall into, into, some kind of new dark age!""

""Plus,"" he says, calming down now, ""the bursar has authorized payment of $gaProbe_reward credits.""","
","aseb_accept:Accept
aseb_decline:Decline",,,
# interactions with probe,,,,,"
",,,,
gaProbePrintHostilesText,OpenInteractionDialog,"$gaProbe_probe score:1000
HostileFleetNearbyAndAware",ShowDefaultVisual,"A nearby hostile fleet is tracking your movements, preventing you from sending an EVA team to examine the probe.","
",defaultLeave:Leave,,,
gaProbeObjectInteraction,OpenInteractionDialog,"$gaProbe_probe score:1000
Call $global.gaProbe_ref updateData","ShowDefaultVisual
FireBest GAProbeInteraction",,"
",,,,
gaProbeObjectInteractionBasic,GAProbeInteraction,$gaProbe_variation == BASIC,"$global.gaProbe_canReturn = true
Call $global.gaProbe_ref updateStage
DespawnEntity","Your $shipOrFleet approaches the probe, finding it exactly where Academician Sebestyen's specifications told you it would be. 

""Small power source, active,"" your sensors officer reports. ""No debris. Nav ping returns normal. Everything looks clean, $playerSirOrMadam.""

The salvage team maneuvers to the probe and you watch the displays flare as a few clean cuts are made through the probe hull. Within minutes the job is done and the salvage team returned with the Academy's instrument package in tow.","
",defaultLeave:Leave,,,
gaProbeObjectInteractionScavenger,GAProbeInteraction,$gaProbe_variation == SCAVENGER,"$global.gaProbe_scavengerTookIt = true
Call $global.gaProbe_ref updateStage
DespawnEntity","Your $shipOrFleet approaches the probe, finding it exactly where Academician Sebestyen's specifications told you it would be. 

""$PlayerSirOrMadam,"" your sensors officer's tone tells you that it is not good news, ""The probe shell is empty. However..."" 

The main bridge display lights up, showing temperature readings on cut-marks; a small spray of debris whose trajectory can be reversed to a point; slowly dissipating clouds of close-maneuvering propellant. The story these signs tell is clear: a scavenger was here, and very recently.

Your nav officer speaks up, ""Captain, if we burn now for the closest jump-point, we might be able to catch them.""","
",defaultLeave:Leave,,,
gaProbeObjectInteractionBlewUp,GAProbeInteraction,$gaProbe_variation == IT_BLEW_UP,,"Your $shipOrFleet approaches the probe, finding it exactly where Academician Sebestyen's mission specs told you it would be. What is odd, however, are the derelict ships and debris field surrounding the probe's position.

Sensor sweeps confirm that the derelicts are indeed derelict and that they are recent; well within the probe's mission operation period. You order all stations to alert, and order further active scans of the entire volume with all telemetry logged to the mission file.","
",gaProbe_blewUp1:Continue,,,
gaProbeObjectInteractionBlewUp1,DialogOptionSelected,$option == gaProbe_blewUp1,,"Reports come in from your bridge crew; sensors, tactical, and ops- a small fleet seems to have been torn apart by highly energetic discharge. Weapons fire? Maybe. But maybe not. Did two groups of scavengers fight over right-of-recovery? Did one fleet turn on itself? It does happen.

Did the probe defend itself with some Domain-era ultratech?

""$PlayerSirOrMadam,"" your ops chief draws your attention from the reports spread across your display, ""I recommend we pull the $shipOrFleet back to safe distance before EVA.""","
",gaProbe_blewUp2:Continue,,,
gaProbeObjectInteractionBlewUp2,DialogOptionSelected,$option == gaProbe_blewUp2,,"The salvage team maneuvers from a trio of carrier drones toward the probe, calling and confirming their approach as you follow their progress. Static crackles in waves across the feed displays on the bridge. Interference from the probe, probably.

""Report contact."" The salvage team coordinates readings with your ops chief. Lines are secured to the probe's hull and equipment deployed.

""Torch ready, making the cut."" Another wave of static. 

Your ops chief exchanges an expressionless look with you as the salvage team breaches the probe casing.","
",gaProbe_blewUp3:Continue,,,
gaProbeObjectInteractionBlewUp3,DialogOptionSelected,$option == gaProbe_blewUp3,,"Your sensors officer cuts in suddenly, ""Advise ops, we see neutrino surge in target. Geometric rise, eight-k tick period."" 

Your ops chief zooms a display into a holo of the instrument package, panning rapidly through a series of highlighted subsystems and annotated conduits. The chief overrides comms to give a precise set of technical instructions in short authoritative barks, receiving confirms as each step is carried out. ""Execute."" 

The comms roar with white noise, and the over-shoulder display feed flares to static.","
",gaProbe_blewUp4:Continue,,,
gaProbeObjectInteractionBlewUp4,DialogOptionSelected,$option == gaProbe_blewUp4,"$global.gaProbe_canReturn = true
Call $global.gaProbe_ref updateStage
DespawnEntity","The noise recedes. ""Report confirm."" 

The over-shoulder display feed re-focuses on the salvage team amid a small cloud of expanding volatiles. One figure is applying sealant to another as a damaged cutting torch drifts on an equipment line. ""Report blue-five minor suit damage. Integrity good.""

The after-action report draws an unclear picture. The instrument package was building up some kind of energy discharge only to be interrupted when your salvors cut off main power. Damage was minimal. Nonetheless, you consider that the Galatia Academy could have given some - or indeed any - warning of this possibility. You make a note to bring up the matter of a hazard bonus with Academician Sebestyen.","
",defaultLeave:Leave,,,
